mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw)
28.0,4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw)
23.0,4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw)
27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd
14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham 
